,title,reviews,stars
0,Decent lunch at London Steakhouse,Used a birthday voucher for 3 course  lunch for two . Very friendly and attentive staff. Well positioned Covid spaced table. Food was nicely presented and tasted good.,4
1,Disappointing,"It was a very disappointing evening, thought it would be fine dinning but ended up with dishes and wine on the menu were not available. The staff were courteous but we expected more from a ‘reputed’ diner. Ambiance was good. Wouldn’t recommend it !!!",2
2,overpriced and average food,"Spent £75 per head for a very average meal.Staff and Service was excellent but food was overpriced. This meal was bordering on terrible..my toffee pud seem mildy warmed in a microwave , my partners apple crumble was cold...meal included one side each with a main...and very average entree..I know it has Marco's name but not worth the money..will never go back.More",2
3,A lovely gift,"We were gifted a meal at The London Steakhouse and what a wonderful experience it turned out to be. We were served by Yadira, who helped make our visit special, the service was outstanding, the food equally.  We ate off the fixed menu with cocktail...provided and consider this to be very good value for money.  We had the house Merlot with the main course and this to was excellent but a little expensive, but could not use this as a reason not to award five stars as everything else was so good.More",5
4,Honest Review,"Polite and Professional
Clean and Pleasant
Steak was chewy and tough which was a disappointment as we were in a top restaurant. 
Although it was part of a deal I do feel that part of a staple menu should include potatos of sorts and at...least one veg before charging for extra sides. 
We were offered water still or sparkling which we had to pay for. 
I think I would have rather had sides and water instead of the cocktails which were included in the price .  It cost us a further £48 which was for 2 x fries , 1 x onion rings, upgrade to a rib eye & water. 
Excessive I felt .
Be very careful when booking deals !! Read all the small print and know what you are getting otherwise a budget evening will exceed your carefully worked out budget and put a damper on the evening .☹More",3
5,Mr Webb says best steak I had all weekend,Great place beautifully styled great team and most importantly absolutely top quality food the wife loved the was you reserve the steak on a hot stone cooked to rate and then finish it off to your own taste. Great cut of meats brilliant seasonings and...butters sides where equally as good. My server was Denise at st martins lane she deserves a pay rise 👌.More,5
6,Date night with hubby,Food and service was excellent.  The waiter who served our table was very attentive.  All compliments to the chef,5
7,Virgin experience meal,"Very good value set meal, would do it again. Waitress very helpful offering advice on the menu. Felt very safe with covid protocol .",4
8,A lovely meal in an atmospheric restaurant!,"The service and food at the London Steakhouse were bpth beyond my expectations! Lovely attentive service, delicious cocktails and an amazing steak - what more could you want! We found the 8oz steak more than enough as part of the three course menu, so don't...feel like you will have to spend a fortune in supplement costs.More",5
9,They know how to cook steak!,"Had a gift voucher, and most patrons appeared to also. London was very quiet (no long after Covid lockdown, and many still working from home).

A warm welcome, and good/safe Covid procedures and practices in place.

Good choice of drinks and food, which was delicious....Needed to purchase extra sides to complete meal, but still good value overall.

Would be happy to return, especially for the Beef Wellington.More",4
10,"Great Service, Average-ish Food, Very Expensive","So like many of the other reviews we had s voucher to use up. I decided to go a la carte as the set menu did not appeal to both of us.

To start with the service was great. Very attentive even though the restaurant...More",2
11,Birthday dinner,Excellent service. Excellent food. Just a bit of investment in the decor to rejuvenate but appreciate times are tough. Highly recommend,4
12,Excellent again,"3rd time at marco,s for lunch and all 3 have been excellent.  Great food very good service and nice ambiance. Very smart but not too stuffy . We Used groupons which are  good value.",5
13,Overpriced,"For the price I expected more and they could do with sharpening their knives. I don't get why there are no standard sides, you have to pay even more if you want anything other than steak and sauce",3
14,Birthday lunch,Good food and brilliant service!! Would definitely recommend this fine dining experience to anyone!!,5
15,Very good,Everything was very good. The service was excellent and the quality of all the food and steak was good. My only comment is that the food could have been hotter & instead of sauce we were given cold butter. I feel for the high prices...More,4
16,Virgin Experience Days - The View from The Shard and Three Course Meal for two,"We kindly were gifted this experience. Lovely meal, beautiful setting, steak was exactly as ordered and tasted delicious - clearly well sourced and cooked with knowledge. All other parts of the meal were very good too. 

The only thing to note is that the Steakhouse...More",5
17,Amazing place,"My husband and I recent visit was superb, although the menu was changed at short notice we found it limited but the manager genti was very helpful and accommodating, he made sure we were looked after and made our evening special as it was our...More",5
18,Excellent.,"No words apart from excellent could describe the place, service, food, atmosphere, price, everything was top class.",5
19,Amazing,Great service and delicious food. Very attentive staff and a super romantic. Even got a lovely dessert beautifully decorated due to our wedding anniversary,5
20,"Good food, unacceptable service","Very good in terms of food. But the service was disappointing. The pressure to have the table for the next customer, even though we still have 45min left for our slot, was awful. But the worst: the bill was sent to our table without us...More",3
21,Average,I had high expectations of this as it is under the Marco Pierre White title however it really was no better than an average restaurant in any town or city.  We did this with Wowcher however my hubbie upgraded to steak and had to order...More,3
